Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Company Name,Company Type,Address,Main Parcel,Description,DBA
2007-2366-NBRR-0,Building Roofing - Combo,Finaled,,9/10/2007,8/28/2007,3/8/2008,7/22/2011,Permit,,,609 NW 2 AVE Hallandale Beach FL 33009,514221170190,roofing,
BRFG-25-02909,Building Roofing - Built-Up,Required,,,4/15/2025,12/15/2025,,Permit,,,120 NW 5 AVE HALLANDALE BEACH FL 33009,514228020610,roofing ,
BRFG-25-03597,Building Roofing - Built-Up,Active,,10/15/2025,9/3/2025,2/2/2026,,Permit,,,300  THREE ISLANDS BOULEVARD HALLANDALE BEACH FL 33009,514223BK0000,re-roofing - roofing/waterproofing,
SP-BRFG-19-02358,SP - Building Roofing - Built-Up,Finaled,,6/12/2019,12/22/2017,6/8/2020,1/15/2020,Permit,,,711 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222290030,roofing,
SP-BRFG-17-01734,SP - Building Roofing - Shingle,Finaled,,5/4/2017,3/29/2017,11/28/2017,6/1/2017,Permit,,,715 SW 6 AVE HALLANDALE BEACH FL 33009,514228330210,roofing,
SP-BRFG-19-02363,SP - Building Roofing - Built-Up,Finaled,,6/12/2019,12/22/2017,10/5/2020,4/6/2020,Permit,,,711 N FEDERAL HWY HALLANDALE BEACH FL 33009,514222290030,roofing ,
SP-BRFG-17-02351,SP - Building Roofing - Shingle,Finaled,,6/9/2017,4/4/2017,6/12/2018,7/12/2017,Permit,,,604 NW 3 AVE HALLANDALE BEACH FL 33009,514221170160,roofing,
BRFG-22-02154,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,11/21/2022,8/20/2022,Permit,,,244 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
BRFG-22-02593,Building Roofing - Built-Up,Finaled,,7/13/2022,5/11/2022,12/26/2023,9/26/2023,Permit,,,1980 S OCEAN DR HALLANDALE BEACH FL 33009,514226BH3390,re-roofing,
2007-1198-NBRR-0,Building Roofing - Combo,Finaled,,3/29/2007,3/27/2007,5/31/2016,12/3/2015,Permit,,,525 NW 3 CT Hallandale Beach FL 33009,514221180990,re-roofing,
2007-0926-NBRR-0,Building Roofing - Combo,Finaled,,2/21/2007,2/21/2007,8/20/2007,7/22/2011,Permit,,,800 NW 3 TER Hallandale Beach FL 33009,514221090290,re-roofing,
2008-0113-NBRC-1,Building Roofing - Combo,Finaled,,11/1/2007,10/17/2007,4/29/2008,8/1/2012,Permit,,,831 N FEDERAL HWY Hallandale Beach FL 33009,514222020010,roofing/greyhound,
2007-2497-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,3/18/2008,7/22/2011,Permit,,,445 LESLIE DR Hallandale Beach FL 33009,514223140500,re-roofing,
2007-2493-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,9/2/2008,7/22/2011,Permit,,,2663 PARKVIEW DR Hallandale Beach FL 33009,514223140300,re-roofing,
BRFG-22-02149,Building Roofing - Tile,Finaled,,5/31/2022,4/12/2022,11/7/2022,8/8/2022,Permit,,,256 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
2007-1670-NBRR-0,Building Roofing - Combo,Finaled,,5/23/2007,5/21/2007,11/19/2007,7/22/2011,Permit,,,713 SW 7 TER Hallandale Beach FL 33009,514228190260,re-roofing,
2007-2060-NBRR-0,Building Roofing - Combo,Finaled,,7/26/2007,7/17/2007,1/22/2008,7/22/2011,Permit,,,521 LESLIE DR Hallandale Beach FL 33009,514223140400,re-roofing,
2008-0472-NBRR-0,Building Roofing - Combo,VOID,,,12/20/2007,,8/16/2017,Permit,,,407 LESLIE DR Hallandale Beach FL 33009,514223140600,shingle roofing,
2007-2245-NBRR-0,Building Roofing - Combo,Finaled,,8/8/2007,8/8/2007,2/4/2008,7/22/2011,Permit,,,467 TAMARIND DR Hallandale Beach FL 33009,514226051090,re-roofing,
BRFG-21-00540,Building Roofing - Built-Up,Finaled,,5/19/2021,2/3/2021,5/24/2022,2/23/2022,Permit,,,501 DIPLOMAT PKWY HALLANDALE BEACH FL 33009,514226110670,roofing permit,
BRFG-22-01552,Building Roofing - Shingle,Required,,,3/7/2022,,,Permit,,,625 NW 5 CT HALLANDALE BEACH FL 33009,514221180630,re-roofing,
BRFG-22-02152,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,11/21/2022,8/20/2022,Permit,,,224 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
BRFG-22-00099,Building Roofing - Combo,Finaled,,1/12/2022,11/9/2021,5/25/2022,2/24/2022,Permit,,,241 SW 10 AVE HALLANDALE BEACH FL 33009,514228340530,re-roofing,
BRFG-22-02151,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,11/21/2022,8/20/2022,Permit,,,220 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
2007-1684-NBRR-0,Building Roofing - Combo,Finaled,,6/13/2007,5/23/2007,12/10/2007,10/22/2024,Permit,,,619 NW 3 CT Hallandale Beach FL 33009,514221181070,re-roofing,
BRFG-20-00632,Building Roofing - Shingle,Finaled,,3/2/2020,1/15/2020,10/27/2020,7/29/2020,Permit,,,716 NW 4 ST HALLANDALE BEACH FL 33009,514221200250,re-roofing,
2007-2496-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,3/18/2008,7/22/2011,Permit,,,443 LESLIE DR Hallandale Beach FL 33009,514223140510,re-roofing,
BRFG-22-03427,Building Roofing - Shingle,Finaled,,8/30/2022,8/4/2022,12/6/2022,9/7/2022,Permit,,,504 NW 7 CT HALLANDALE BEACH FL 33009,514221070210,re roofing,
BRFG-24-03915,Building Roofing - Shingle,Finaled,,10/21/2024,8/29/2024,2/5/2025,11/7/2024,Permit,,,611 SW 4 CT HALLANDALE BEACH FL 33009,514228260400,re-roofing,
2007-1037-NBRR-0,Building Roofing - Combo,Finaled,,3/19/2007,3/6/2007,9/15/2007,7/22/2011,Permit,,,700 SW 5 CT Hallandale Beach FL 33009,514228170100,re-roofing,
2008-0371-NBRR-0,Building Roofing - Combo,Finaled,,12/21/2007,12/5/2007,6/18/2008,7/22/2011,Permit,,,421 NW 6 ST Hallandale Beach FL 33009,514221150340,shingle roofing,
BRFG-22-02175,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,12/21/2022,9/22/2022,Permit,,,204 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
2007-1261-NBRR-0,Building Roofing - Combo,Finaled,,4/12/2007,4/4/2007,10/9/2007,7/22/2011,Permit,,,613 NW 5 CT Hallandale Beach FL 33009,514221180610,re-roofing,
2008-0121-NBRR-0,Building Roofing - Combo,Expired,,11/1/2007,10/18/2007,9/3/2008,,Permit,,,2753 PARKVIEW DR Hallandale Beach FL 33009,514223140350,roofing/phillips,
2007-2492-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,9/2/2008,7/22/2011,Permit,,,2665 PARKVIEW DR Hallandale Beach FL 33009,514223140310,re-roofing,
BRFG-21-01015,Building Roofing - Shingle,Finaled,,5/4/2021,3/10/2021,8/16/2021,5/17/2021,Permit,,,655 SW 6 ST HALLANDALE BEACH FL 33009,514228330540,re-roofing,
2007-0915-NBRC-0,Building Roofing - Combo,Finaled,,,2/16/2007,,7/22/2011,Permit,,,215 NW 5 AVE Hallandale Beach FL 33009,514228050290,re/roofing,
2007-2074-NBRR-0,Building Roofing - Combo,Expired,,7/18/2007,7/18/2007,1/14/2008,,Permit,,,812 NW 10 ST Hallandale Beach FL 33009,514221230170,re-roofing,
2007-1935-NBRR-0,Building Roofing - Combo,Finaled,,7/11/2007,6/26/2007,1/7/2008,7/22/2011,Permit,,,171 SW 10 TER Unit: DUPX Hallandale Beach FL 33009,514228340110,re-roofing,
2007-0778-BDRR-0,Building Roofing - Combo,Finaled,,3/1/2007,1/29/2007,9/25/2007,7/22/2011,Permit,,,1012 NE 7 ST Hallandale Beach FL 33009,514222370330,re-roofing,
2007-1963-NBRR-0,Building Roofing - Combo,Finaled,,7/17/2007,7/2/2007,1/14/2008,7/22/2011,Permit,,,1200 MOFFETT ST Hallandale Beach FL 33009,514222140010,re-roofing,
2007-1337-NBRR-0,Building Roofing - Combo,Finaled,,5/31/2007,4/13/2007,2/13/2014,10/9/2013,Permit,,,421 SW 3 ST Hallandale Beach FL 33009,514228260180,re-roofing,
2007-1260-NBRR-0,Building Roofing - Combo,Finaled,,4/12/2007,4/4/2007,10/9/2007,7/22/2011,Permit,,,721 NW 1 CT Unit: 2 Hallandale Beach FL 33009,514228150190,re-roofing,
2009-0007-NRPR-0,Building Roofing - Combo,Finaled,,11/7/2008,10/2/2008,5/6/2009,7/22/2011,Permit,,,1013 SW 3 ST Hallandale Beach FL 33009,514228340430,roofing residential,
BRFG-18-00505,Building Roofing - Shingle,Finaled,,2/16/2018,1/19/2018,9/11/2018,3/15/2018,Permit,,,1012 NW 2 AVE HALLANDALE BEACH FL 33009,514222300030,re-roofing ,
2007-2494-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,9/2/2008,7/22/2011,Permit,,,2667 PARKVIEW DR Hallandale Beach FL 33009,514223140320,re-roofing,
2007-2059-NBRR-0,Building Roofing - Combo,Finaled,,7/26/2007,7/17/2007,2/6/2017,8/10/2016,Permit,,,341 LESLIE DR Hallandale Beach FL 33009,514223140710,re-roofing,
BRFG-22-02099,Building Roofing - Tile,Finaled,,5/18/2022,4/12/2022,11/21/2022,8/20/2022,Permit,,,248 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
2007-2207-NBRR-0,Building Roofing - Combo,Finaled,,4/11/2008,8/3/2007,10/8/2008,7/22/2011,Permit,,,511 FOSTER RD Hallandale Beach FL 33009,514221150650,re-roofing,
BRFG-18-01230,Building Roofing - Shingle,Finaled,,3/19/2018,3/6/2018,10/1/2018,4/3/2018,Permit,,,111 NE 2 TER HALLANDALE BEACH FL 33009,514227300310,re-roofing ,
BRFG-22-02153,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,12/20/2022,9/21/2022,Permit,,,212 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
2007-0890-NBRR-0,Building Roofing - Combo,Finaled,,3/1/2007,2/14/2007,8/28/2007,7/22/2011,Permit,,,830 NW 9 ST Unit: UTILT Hallandale Beach FL 33009,514221230300,re-roofing,
2007-2220-NBRR-0,Building Roofing - Combo,Finaled,,8/14/2007,8/3/2007,2/10/2008,7/22/2011,Permit,,,210 NE 2 AVE Hallandale Beach FL 33009,514227290190,re-roofing,
2007-2453-NBRR-0,Building Roofing - Combo,Finaled,,9/12/2007,9/12/2007,3/10/2008,7/22/2011,Permit,,,630 SW 6 AVE Hallandale Beach FL 33009,514228230040,re-roofing,
2007-2384-NBRR-0,Building Roofing - Combo,Finaled,,9/26/2007,8/30/2007,3/24/2008,7/22/2011,Permit,,,616 SW 1 ST Hallandale Beach FL 33009,514228120110,re-roofing,
BRFG-22-04802,Building Roofing - Combo,Finaled,,12/29/2022,10/13/2022,5/2/2023,2/1/2023,Permit,,,520 SW 8 ST HALLANDALE BEACH FL 33009,514228250010,re-roofing,
BRFG-18-02665,Building Roofing - Shingle,Finaled,,6/7/2018,3/12/2018,12/31/2018,7/2/2018,Permit,,,635 SW 10 ST HALLANDALE BEACH FL 33009,514228280020,re-roofing ,
BRFG-22-02101,Building Roofing - Tile,Finaled,,5/18/2022,4/12/2022,12/20/2022,9/21/2022,Permit,,,208 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
BRFG-21-02986,Building Roofing - Combo,Expired,,9/9/2021,6/8/2021,5/2/2022,,Permit,,,326 NW 2 AVE HALLANDALE BEACH FL 33009,514222210290,re-roofing,
BRFG-22-02651,Building Roofing - Tile,Finaled,,7/12/2022,6/21/2022,12/21/2022,9/22/2022,Permit,,,225 Three Island Blvd - Pool House W Three Island Blvd BLVD Unit: 225 - Pool House Hallandale Beach FL 33009,514223120047,re-roofing,
2007-1909-NBRR-0,Building Roofing - Combo,Finaled,,7/10/2007,6/21/2007,1/6/2008,7/22/2011,Permit,,,600 NW 1 ST Hallandale Beach FL 33009,514228570010,re-roofing,
BRFG-23-01129,Building Roofing - Single Ply,Finaled,,6/12/2023,2/7/2023,10/18/2023,7/20/2023,Permit,,,610 NE 12 AVE HALLANDALE BEACH FL 33009,514222AE0000,re-roofing,
BRFG-19-04044,Building Roofing - Shingle,Expired,,10/31/2019,7/24/2019,7/21/2020,4/22/2020,Permit,,,309 SW 9 TER HALLANDALE BEACH FL 33009,514228290530,re roofing,
BRFG-21-02684,Building Roofing - Shingle,Finaled,,8/17/2021,5/17/2021,4/27/2022,1/27/2022,Permit,,,300 HOLIDAY DR HALLANDALE BEACH FL 33009,514226130600,re roofing,
2007-1010-NBRR-0,Building Roofing - Combo,Finaled,,3/9/2007,3/2/2007,9/5/2007,7/22/2011,Permit,,,609 NW 1 AVE Hallandale Beach FL 33009,514222070350,re-roofing,
BRFG-23-01036,Building Roofing - Shingle,Finaled,,3/22/2023,2/20/2023,7/3/2023,4/4/2023,Permit,,,806 SW 7 TER HALLANDALE BEACH FL 33009,514228190110,re-roofing,
2007-1819-NBRR-0,Building Roofing - Combo,Finaled,,6/20/2007,6/11/2007,12/17/2007,7/22/2011,Permit,,,652 NW 5 CT Hallandale Beach FL 33009,514221180561,re-roofing,
2012-2298-NRPR-0,Building Roofing - Combo,Finaled,,9/4/2012,8/29/2012,3/3/2013,11/1/2012,Permit,,,450 PARADISE ISLE BLVD Unit: B Hallandale Beach FL 33009,514226PX0000,re-roofing,
2007-2495-NBRR-0,Building Roofing - Combo,Finaled,,9/20/2007,9/19/2007,9/2/2008,7/22/2011,Permit,,,2669 PARKVIEW DR Hallandale Beach FL 33009,514223140330,re-roofing,
2007-2506-NBRR-0,Building Roofing - Combo,Finaled,,11/8/2007,9/20/2007,5/6/2008,7/22/2011,Permit,,,2713 PARKVIEW DR Hallandale Beach FL 33009,514223140040,re-roofing,
2007-0970-NBRR-0,Building Roofing - Combo,Finaled,,3/12/2007,2/27/2007,9/8/2007,7/22/2011,Permit,,,108 NW 3 AVE Hallandale Beach FL 33009,514228020860,re-roofing,
BRFG-22-02110,Building Roofing - Tile,Finaled,,5/18/2022,4/12/2022,12/20/2022,9/21/2022,Permit,,,252 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing,
BRFG-25-02182,Building Roofing - Built-Up,Required,,,2/27/2025,,,Permit,,,1110 E HALLANDALE BEACH BLVD HALLANDALE BEACH FL 33009,514227610010,new roofing,
BRFG-21-01730,Building Roofing - Built-Up,Expired,,8/2/2021,2/1/2021,1/31/2022,,Permit,,,520 NW 3 AVE HALLANDALE BEACH FL 33009,514221170230,re-roofing,
BRFG-25-02910,Building Roofing - Built-Up,VOID,,,4/15/2025,,7/18/2025,Permit,,,,,roofing permit,
BRFG-17-00714,Building Roofing - Maintenance,Finaled,,2/28/2017,1/24/2017,10/24/2017,4/27/2017,Permit,,,1928 S OCEAN DR HALLANDALE BEACH FL 33009,514226HB0000,roofing skylight addition,
BRFG-22-02158,Building Roofing - Tile,Finaled,,6/1/2022,4/13/2022,11/21/2022,8/20/2022,Permit,,,224 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-22-02633,Building Roofing - Single Ply,Finaled,,6/28/2022,4/12/2022,11/29/2022,8/31/2022,Permit,,,720 NE 5 ST HALLANDALE BEACH FL 33009,514222130400,re- roofing flat,
BRFG-22-00246,Building Roofing - Shingle,Required,,,12/27/2021,,,Permit,,,302 NW 9 ST HALLANDALE BEACH FL 33009,514221040390,re-roofing application,
BRFG-19-03122,Building Roofing - Shingle,Finaled,,7/24/2019,7/23/2019,1/27/2020,7/31/2019,Permit,,,614 NW 4 CT HALLANDALE BEACH FL 33009,514221250020,"re-roofing , shingles",
BRFG-23-00193,Building Roofing - Built-Up,Expired,,1/19/2023,11/14/2022,5/15/2023,,Permit,,,737 NW 1 CT HALLANDALE BEACH FL 33009,514228150230,re roofing flat,
BRFG-19-01287,Building Roofing - Shingle,Finaled,,4/9/2019,3/15/2019,10/14/2019,4/16/2019,Permit,,,606 SW 8 AVE HALLANDALE BEACH FL 33009,514228000480,reroof-asphalt roofing,
BRFG-22-02157,Building Roofing - Tile,Finaled,,6/1/2022,4/13/2022,11/21/2022,8/20/2022,Permit,,,244 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-20-03708,Building Roofing - Built-Up,Finaled,,12/10/2020,8/21/2020,6/13/2022,3/14/2022,Permit,,,2000 S OCEAN DR HALLANDALE BEACH FL 33009,514226250010,sbs roofing system,
2012-1019-NRPR-0,Building Roofing - Combo,Expired,,3/13/2012,3/7/2012,9/9/2012,,Permit,,,218 NE 4 ST Hallandale Beach FL 33009,514222310100,remove all roofing,
2005-0851-NBRC-0,Building Roofing - Combo,Expired,,3/28/2007,1/26/2005,10/26/2008,,Permit,,,630 NW 2 ST Hallandale Beach FL 33009,514228010010,new roofing permit,
BRFG-22-02159,Building Roofing - Tile,Finaled,,6/1/2022,4/13/2022,12/20/2022,9/21/2022,Permit,,,204 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-19-03396,Building Roofing - Maintenance,Finaled,,8/14/2019,8/5/2019,3/9/2020,9/10/2019,Permit,,,708 NE 5 ST HALLANDALE BEACH FL 33009,514222130390,re-roofing flat,
BRFG-20-03830,Building Roofing - Built-Up,Finaled,,6/29/2021,10/29/2020,1/2/2023,10/4/2022,Permit,,,1950 S OCEAN DR HALLANDALE BEACH FL 33009,514226BH0000,re-roofing permit,
BRFG-20-03617,Building Roofing - Shingle,Finaled,,11/25/2020,10/12/2020,4/6/2021,1/6/2021,Permit,,,132 NW 6 AVE HALLANDALE BEACH FL 33009,514228020472,re- roofing shingles,
2006-0745-BDRR-1,Building Roofing - Combo,Finaled,,11/17/2006,1/26/2006,5/27/2007,7/22/2011,Permit,,,619 NE 7 ST Hallandale Beach FL 33009,514222130950,coc douglass roofing,
2014-2624-NRPC-0,Building Roofing - Combo,Finaled,,1/12/1916,8/28/2014,7/18/2016,1/20/2016,Permit,,,600 SILKS RUN Unit: 2210 Hallandale Beach FL 33009,514227510014,roofing sub permit,
BRFG-23-02574,Building Roofing - Shingle,Finaled,,7/13/2023,5/2/2023,11/15/2023,8/17/2023,Permit,,,100 SW 9 ST HALLANDALE BEACH FL 33009,514227180133,re-roofing shingles,
BRFG-23-01989,Building Roofing - Single Ply,Finaled,,5/22/2023,4/21/2023,8/30/2023,6/1/2023,Permit,,,1125 NE 3 ST HALLANDALE BEACH FL 33009,514222390420,re-roofing flat,
BRFG-22-02155,Building Roofing - Tile,Finaled,,6/1/2022,4/12/2022,12/20/2022,9/21/2022,Permit,,,216 THREE ISLANDS BLVD Unit: CLUBH HALLANDALE BEACH FL 33009,514223120047,re-roofing application,
BRFG-19-00975,Building Roofing - Shingle,Finaled,,3/13/2019,3/7/2019,9/30/2019,4/2/2019,Permit,,,,514222030179,re-roofing shingles ,
BRFG-19-00199,Building Roofing - Shingle,Finaled,,1/18/2019,11/1/2018,8/5/2019,2/6/2019,Permit,,,231 SW 9 ST HALLANDALE BEACH FL 33009,514228350200,re-roofing shingles,
BRFG-22-02156,Building Roofing - Tile,Finaled,,5/31/2022,4/13/2022,11/21/2022,8/20/2022,Permit,,,248 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-22-01737,Building Roofing - Tile,Finaled,,5/11/2022,4/13/2022,11/21/2022,8/22/2022,Permit,,,252 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-22-02125,Building Roofing - Tile,Finaled,,6/1/2022,4/13/2022,11/21/2022,8/20/2022,Permit,,,220 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-22-01736,Building Roofing - Tile,Finaled,,5/11/2022,4/13/2022,11/21/2022,8/22/2022,Permit,,,256 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re-roofing garage,
BRFG-24-00839,Building Roofing - Shingle,Finaled,,3/13/2024,2/26/2024,7/1/2024,4/2/2024,Permit,,,732 NW 6 ST HALLANDALE BEACH FL 33009,514221190180,re-roofing shingle,
BRFG-21-04942,Building Roofing - Single Ply,Finaled,,12/1/2021,8/9/2021,4/18/2022,1/18/2022,Permit,,,713 NE 3 ST HALLANDALE BEACH FL 33009,514222130120,re-roofing flat,
BRFG-22-02652,Building Roofing - Tile,Finaled,,6/30/2022,6/21/2022,11/17/2022,8/19/2022,Permit,,,200 THREE ISLANDS BLVD HALLANDALE BEACH FL 33009,514223120047,re- roofing application,
BRFG-25-03188,Building Roofing - Shingle,Finaled,,8/18/2025,8/6/2025,12/2/2025,9/3/2025,Permit,,,712 SW 2 AVE HALLANDALE BEACH FL 33009,514228370480,re-roofing shingles,
BRFG-25-03790,Building Roofing - Built-Up,Required,,,9/19/2025,,,Permit,,,907 NE 2 CT HALLANDALE BEACH FL 33009,514222360610,roofing for addition,
BTR-22-00417,Local Business Tax Receipt,Fees Due,,,9/4/2024,1/1/2999,,License,Cory & Associates Inc.,Corporation,226 NW 5 AVE HALLANDALE BEACH FL 33009,514228050220,warehouse for roofing contractor,
